class,feature,mean_abs_shap,rank
reaction_wheel_degradation,battery_temp_rate,0.00019972310997581362,55
reaction_wheel_degradation,electronics_temp_rate,0.00012148392893988393,57
reaction_wheel_degradation,wheel_speed_rate,0.0004258145414162281,45
reaction_wheel_degradation,wheel_current_rate,0.00026917278953084617,53
reaction_wheel_degradation,wheel_temp_rate,0.00028611948426450674,52
reaction_wheel_degradation,wheel_tracking_error_rpm,0.00036589615485266053,48
reaction_wheel_degradation,solar_relative_residual,0.003617530462456089,16
reaction_wheel_degradation,battery_innovation_v,0.0021103500492356962,26
reaction_wheel_degradation,battery_temp_residual_c,0.006921888068796824,12
reaction_wheel_degradation,electronics_temp_residual_c,0.007346595600003331,9
reaction_wheel_degradation,wheel_current_residual_a,0.023804918587951137,4
reaction_wheel_degradation,wheel_temp_residual_c,0.02978654331928299,3
reaction_wheel_degradation,rule_detected,0.0026183608142197586,21
reaction_wheel_degradation,rule_confidence,0.0024213475654117013,23
reaction_wheel_degradation,rule_pred_solar_array_degradation,0.002204468177209258,24
reaction_wheel_degradation,rule_pred_battery_degradation,0.0002887889159062999,51
reaction_wheel_degradation,rule_pred_thermal_anomaly,0.00048293251708840843,43
reaction_wheel_degradation,rule_pred_reaction_wheel_degradation,0.0032042305935153503,18
reaction_wheel_degradation,rule_pred_battery_voltage_sensor_drift,0.01308703691266671,6
reaction_wheel_degradation,rule_pred_telemetry_dropout,0.001578697502408804,39
reaction_wheel_degradation,physics_detected,0.013260908023456655,5
reaction_wheel_degradation,physics_confidence,0.03301814367892843,2
reaction_wheel_degradation,physics_pred_solar_array_degradation,0.0019900018770252536,32
reaction_wheel_degradation,physics_pred_battery_degradation,0.002022567961191479,30
reaction_wheel_degradation,physics_pred_thermal_anomaly,0.005619059251680385,13
reaction_wheel_degradation,physics_pred_reaction_wheel_degradation,0.07591283948821323,1
reaction_wheel_degradation,physics_pred_battery_voltage_sensor_drift,0.0008864815577664807,42
reaction_wheel_degradation,physics_pred_telemetry_dropout,0.0026897804605929805,20
reaction_wheel_degradation,ml_power_ratio,0.003104464598323125,19
reaction_wheel_degradation,ml_battery_ratio,0.0044304237227770155,14
reaction_wheel_degradation,ml_thermal_ratio,0.0034108800601055263,17
reaction_wheel_degradation,ml_wheel_ratio,0.007193403285512384,10
reaction_wheel_degradation,ml_max_ratio,0.00244924117890862,22
reaction_wheel_degradation,ml_persistent_anomaly,0.00040632970838544615,47
reaction_wheel_degradation,missing_battery_soc_measured,0.0017687397708856388,36
reaction_wheel_degradation,missing_battery_voltage_measured,0.0021491836446969944,25
reaction_wheel_degradation,missing_battery_current_measured,0.0020310055032771034,29
reaction_wheel_degradation,missing_battery_temp_measured,0.002046808880659537,28
reaction_wheel_degradation,missing_electronics_temp_measured,0.0019406098894366064,33
reaction_wheel_degradation,missing_wheel_speed_measured,0.0014050532281397396,40
reaction_wheel_degradation,missing_wheel_current_measured,0.001763143639849778,37
reaction_wheel_degradation,missing_wheel_temp_measured,0.0018147529699797415,35
reaction_wheel_degradation,missing_count,0.0016698530028083603,38
solar_array_degradation,in_sunlight,0.003001798703458201,30
solar_array_degradation,solar_power_w,0.013930981052966238,8
solar_array_degradation,load_power_w,0.00026779963893958504,55
solar_array_degradation,battery_soc_measured,0.008004295929345316,14
solar_array_degradation,battery_voltage_measured,0.007872854548021599,15
solar_array_degradation,battery_current_measured,0.020033117687689266,3
solar_array_degradation,battery_temp_measured,0.048798056933464805,1
solar_array_degradation,electronics_temp_measured,0.009807628488200623,12
solar_array_degradation,wheel_target_speed_rpm,0.00028915226720116005,53
solar_array_degradation,wheel_speed_measured,0.00038854631812934104,50
solar_array_degradation,wheel_current_measured,0.00048637524778854813,45
solar_array_degradation,wheel_temp_measured,0.0063030628622407344,21
solar_array_degradation,battery_soc_rate,0.004132117632962371,25
solar_array_degradation,battery_voltage_rate,0.0004022930432148918,49
solar_array_degradation,battery_temp_rate,0.0007261711869112456,43
solar_array_degradation,electronics_temp_rate,0.0003398035716166852,51
solar_array_degradation,wheel_speed_rate,0.00043881615916297725,48
solar_array_degradation,wheel_current_rate,0.00026585182892369547,56
solar_array_degradation,wheel_temp_rate,0.0003377652815108974,52
solar_array_degradation,wheel_tracking_error_rpm,0.0002829075333733664,54
solar_array_degradation,solar_relative_residual,0.03131181655573603,2
solar_array_degradation,battery_innovation_v,0.006713704677574513,19
solar_array_degradation,battery_temp_residual_c,0.00710839352098153,17
solar_array_degradation,electronics_temp_residual_c,0.009675330002350014,13
solar_array_degradation,wheel_current_residual_a,0.0037497085897102234,26
solar_array_degradation,wheel_temp_residual_c,0.00508083439870264,23
solar_array_degradation,rule_detected,0.0074977221527845654,16
solar_array_degradation,rule_confidence,0.01585975084371555,6
solar_array_degradation,rule_pred_solar_array_degradation,0.016583776368345373,5
solar_array_degradation,rule_pred_battery_degradation,0.00011291689336600032,57
solar_array_degradation,rule_pred_thermal_anomaly,0.000505787582365288,44
solar_array_degradation,rule_pred_reaction_wheel_degradation,0.00047662089865121987,46
solar_array_degradation,rule_pred_battery_voltage_sensor_drift,0.017488256468333553,4
solar_array_degradation,rule_pred_telemetry_dropout,0.00166070269078662,39
solar_array_degradation,physics_detected,0.003578179048263146,27
solar_array_degradation,physics_confidence,0.010401254794420707,11
solar_array_degradation,physics_pred_solar_array_degradation,0.015306487185480907,7
solar_array_degradation,physics_pred_battery_degradation,0.001036020403199344,41
solar_array_degradation,physics_pred_thermal_anomaly,0.0064853941437104795,20
solar_array_degradation,physics_pred_reaction_wheel_degradation,0.012272462006448891,9
