scenario_id,fault_type,rank,feature,shap_value
26,battery_degradation,2,battery_temp_measured,0.06081546954106103
26,battery_degradation,3,battery_innovation_v,0.059888061021544474
26,battery_degradation,4,physics_pred_battery_degradation,0.05733948634970949
26,battery_degradation,5,physics_pred_reaction_wheel_degradation,0.05060097864114598
27,battery_degradation,1,physics_confidence,0.08198532980945619
27,battery_degradation,2,physics_pred_reaction_wheel_degradation,0.06104361485613459
27,battery_degradation,3,physics_pred_battery_degradation,0.0608955567284451
27,battery_degradation,4,battery_temp_measured,0.05128229624902325
27,battery_degradation,5,rule_pred_battery_voltage_sensor_drift,0.037776141998389454
28,battery_degradation,1,battery_soc_measured,0.07413580292723074
28,battery_degradation,2,rule_pred_battery_voltage_sensor_drift,0.07346891991912739
28,battery_degradation,3,battery_voltage_measured,0.07143068701580514
28,battery_degradation,4,battery_temp_measured,0.06886848029596615
28,battery_degradation,5,rule_confidence,0.047955898551732455
29,battery_degradation,1,physics_confidence,0.12219789213794895
29,battery_degradation,2,physics_pred_battery_degradation,0.08417464621296115
29,battery_degradation,3,battery_innovation_v,0.06634984037026026
29,battery_degradation,4,physics_pred_reaction_wheel_degradation,0.0541594179112777
29,battery_degradation,5,physics_detected,0.043557701538756044
30,battery_degradation,1,physics_confidence,0.10839574251994372
30,battery_degradation,2,battery_innovation_v,0.07196253325166152
30,battery_degradation,3,physics_pred_battery_degradation,0.07088072843099923
30,battery_degradation,4,physics_pred_reaction_wheel_degradation,0.05191793191660324
30,battery_degradation,5,rule_pred_battery_voltage_sensor_drift,0.03665257317921046
31,battery_degradation,1,physics_confidence,0.09153635029543124
31,battery_degradation,2,battery_innovation_v,0.06783889898651159
31,battery_degradation,3,physics_pred_battery_degradation,0.06531081300849904
31,battery_degradation,4,physics_pred_reaction_wheel_degradation,0.05148227817943812
31,battery_degradation,5,rule_pred_battery_voltage_sensor_drift,0.037278429168221626
32,battery_degradation,1,physics_confidence,0.08575835342421007
32,battery_degradation,2,physics_pred_battery_degradation,0.06775110645550748
32,battery_degradation,3,battery_innovation_v,0.06144580633994497
