scenario_id,fault_type,severity,profile,noise_scale,fault_start_time_h,active_samples,rule_detection_recall,model_detection_recall,hybrid_detection_recall,hybrid_prefault_alarms,hybrid_prefault_fpr,raw_diagnosis_accuracy,selective_coverage,accepted_diagnosis_accuracy,operational_coverage,operational_accuracy,end_to_end_correct_fraction,scenario_correctly_diagnosed,first_correct_diagnosis_time_h,diagnosis_delay_min,severity_bin,noise_bin
17,solar_array_degradation,0.5625894480641828,gradual,1.1730178978991508,1.5257157754898607,269,0.5724907063197026,0.5687732342007435,0.5910780669144982,0,0.0,0.9591078066914498,0.7695167286245354,0.9855072463768116,0.5650557620817844,0.993421052631579,0.5613382899628253,True,1.7666666666666666,14.457053470608354,0.40-0.60,1.00-1.25
18,solar_array_degradation,0.312954296661419,gradual,1.2292696891672248,3.336793715741193,160,0.4125,0.44375,0.4625,0,0.0,0.71875,0.475,0.9605263157894737,0.41875,1.0,0.41875,True,3.716666666666667,22.79237705552842,0.20-0.40,1.00-1.25
19,solar_array_degradation,0.5276361379403856,gradual,1.1994869942021855,2.8192145349818984,191,0.5916230366492147,0.5654450261780105,0.5916230366492147,0,0.0,0.9424083769633508,0.8219895287958116,1.0,0.581151832460733,1.0,0.581151832460733,True,3.0,10.847127901086093,0.40-0.60,1.00-1.25
20,solar_array_degradation,0.5693049646153203,gradual,0.8007857704654054,1.76952290324226,254,0.5354330708661418,0.5393700787401575,0.5590551181102362,0,0.0,0.9724409448818898,0.8503937007874016,0.9953703703703703,0.5590551181102362,1.0,0.5590551181102362,True,1.95,10.828625805464402,0.40-0.60,0.75-1.00
21,battery_degradation,0.7142472139919882,gradual,1.241847041941417,2.7136287620684065,198,0.15151515151515152,0.3484848484848485,0.40404040404040403,0,0.0,0.7727272727272727,0.2828282828282828,1.0,0.14646464646464646,1.0,0.14646464646464646,True,3.2,29.18227427589562,0.60-0.80,1.00-1.25
22,battery_degradation,0.2770066408652321,abrupt,0.7745387836476865,2.83718557682018,190,0.02631578947368421,0.0,0.02631578947368421,0,0.0,0.5736842105263158,0.23684210526315788,0.7111111111111111,0.02631578947368421,1.0,0.02631578947368421,True,4.5,99.7688653907892,0.20-0.40,0.75-1.00
23,battery_degradation,0.532861771889904,abrupt,1.137061940728299,1.6678187779253817,260,0.15,0.3423076923076923,0.47692307692307695,0,0.0,0.8461538461538461,0.4461538461538462,0.9224137931034483,0.23846153846153847,1.0,0.23846153846153847,True,2.583333333333333,54.93087332447708,0.40-0.60,1.00-1.25
24,battery_degradation,0.4130366087531232,abrupt,0.985250056172856,3.262372358699047,165,0.08484848484848485,0.22424242424242424,0.2909090909090909,0,0.0,0.8,0.41818181818181815,0.9710144927536232,0.18787878787878787,1.0,0.18787878787878787,True,4.116666666666666,51.25765847805716,0.40-0.60,0.75-1.00
25,battery_degradation,0.5979100187943587,gradual,1.1687230477114106,1.7356992890487906,256,0.17578125,0.37890625,0.484375,1,0.009523809523809525,0.83984375,0.38671875,0.8787878787878788,0.19140625,1.0,0.19140625,True,2.533333333333333,47.85804265707256,0.40-0.60,1.00-1.25
26,battery_degradation,0.6470209319885911,gradual,1.237624543740518,2.897830343304977,187,0.1443850267379679,0.2994652406417112,0.3850267379679144,0,0.0,0.7807486631016043,0.35294117647058826,0.9090909090909091,0.13368983957219252,1.0,0.13368983957219252,True,4.05,69.13017940170138,0.60-0.80,1.00-1.25
27,battery_degradation,0.7053367578341156,abrupt,1.2665960292847858,2.9347890106527874,184,0.15760869565217392,0.3532608695652174,0.42934782608695654,4,0.022598870056497175,0.8315217391304348,0.33695652173913043,0.9516129032258065,0.14673913043478262,1.0,0.14673913043478262,True,3.1666666666666665,13.912659360832746,0.60-0.80,1.25-1.50
28,battery_degradation,0.261011454249298,gradual,0.9123926262095988,2.3187220676453304,221,0.01809954751131222,0.0,0.01809954751131222,0,0.0,0.4660633484162896,0.167420814479638,0.7297297297297297,0.01809954751131222,1.0,0.01809954751131222,True,4.5,130.87667594128018,0.20-0.40,0.75-1.00
29,battery_degradation,0.4206076548422047,abrupt,0.9503991988772036,1.7272759871763512,257,0.10505836575875487,0.2840466926070039,0.36186770428015563,0,0.0,0.7976653696498055,0.46303501945525294,0.9159663865546218,0.2723735408560311,1.0,0.2723735408560311,True,2.6333333333333333,54.36344076941892,0.40-0.60,0.75-1.00
30,battery_degradation,0.5515337087280956,abrupt,1.2509849432988789,2.137564162891159,232,0.1853448275862069,0.3620689655172414,0.5172413793103449,0,0.0,0.896551724137931,0.43103448275862066,0.99,0.28448275862068967,0.9848484848484849,0.2801724137931034,True,2.6166666666666667,28.74615022653046,0.40-0.60,1.25-1.50
31,battery_degradation,0.673885629965303,gradual,1.3186871742363682,1.755312775329765,255,0.21176470588235294,0.36470588235294116,0.4666666666666667,1,0.009433962264150943,0.8431372549019608,0.35294117647058826,0.9222222222222223,0.1803921568627451,1.0,0.1803921568627451,True,2.55,47.68123348021409,0.60-0.80,1.25-1.50
32,battery_degradation,0.3443756250882639,gradual,0.7823180179759468,2.376290020661938,218,0.05045871559633028,0.29357798165137616,0.3073394495412844,0,0.0,0.7477064220183486,0.3577981651376147,0.9615384615384616,0.23853211009174313,1.0,0.23853211009174313,True,2.9166666666666665,32.42259876028371,0.20-0.40,0.75-1.00
33,battery_degradation,0.218278884874937,abrupt,1.0993593982465346,3.43073853968936,155,0.0064516129032258064,0.012903225806451613,0.01935483870967742,1,0.0048543689320388345,0.5290322580645161,0.17419354838709677,0.7407407407407407,0.01935483870967742,1.0,0.01935483870967742,True,4.25,49.15568761863839,0.20-0.40,1.00-1.25
34,battery_degradation,0.5405391451600045,gradual,0.8054219818839264,2.1702700751721906,230,0.10869565217391304,0.32608695652173914,0.41739130434782606,0,0.0,0.8347826086956521,0.4217391304347826,0.9896907216494846,0.23043478260869565,1.0,0.23043478260869565,True,2.816666666666667,38.78379548966858,0.40-0.60,0.75-1.00
35,battery_degradation,0.3006941930793471,gradual,1.2883757679621737,3.2066273125199984,168,0.041666666666666664,0.0,0.041666666666666664,1,0.0051813471502590676,0.6011904761904762,0.2261904761904762,0.9210526315789473,0.041666666666666664,1.0,0.041666666666666664,True,4.5,77.6023612488001,0.20-0.40,1.25-1.50
36,battery_degradation,0.7877755093108962,abrupt,1.2212313440057934,3.20110251951271,168,0.20238095238095238,0.3630952380952381,0.44047619047619047,0,0.0,0.8511904761904762,0.2916666666666667,1.0,0.13690476190476192,1.0,0.13690476190476192,True,3.3,5.933848829237398,0.60-0.80,1.00-1.25
37,battery_degradation,0.247777602545364,gradual,0.8711017819957132,2.978521591274069,182,0.016483516483516484,0.0,0.016483516483516484,0,0.0,0.5,0.23626373626373626,0.5813953488372093,0.016483516483516484,1.0,0.016483516483516484,True,4.5,91.28870452355586,0.20-0.40,0.75-1.00
38,battery_degradation,0.5462478997759437,gradual,1.4288630305793522,2.423767194155136,215,0.11162790697674418,0.26976744186046514,0.3674418604651163,2,0.0136986301369863,0.8,0.2651162790697674,1.0,0.12093023255813953,1.0,0.12093023255813953,True,3.0,34.57396835069183,0.40-0.60,1.25-1.50
39,battery_degradation,0.3732749894056553,gradual,1.2390735876494658,1.8558283967820088,249,0.07630522088353414,0.1566265060240964,0.18072289156626506,0,0.0,0.7188755020080321,0.3293172690763052,0.926829268292683,0.1606425702811245,1.0,0.1606425702811245,True,2.95,65.65029619307948,0.20-0.40,1.00-1.25
40,battery_degradation,0.6629222227440466,gradual,0.9091043616193294,2.988883781187832,181,0.14917127071823205,0.35911602209944754,0.425414364640884,0,0.0,0.8232044198895028,0.425414364640884,0.922077922077922,0.16574585635359115,1.0,0.16574585635359115,True,3.2666666666666666,16.666973128730067,0.60-0.80,0.75-1.00
41,thermal_anomaly,0.7276592359230265,abrupt,1.1635317437360368,3.290770054265242,163,0.656441717791411,0.9386503067484663,0.9386503067484663,0,0.0,0.9693251533742331,0.9386503067484663,1.0,0.9386503067484663,1.0,0.9386503067484663,True,3.466666666666667,10.553796744085497,0.60-0.80,1.00-1.25
42,thermal_anomaly,0.2125669064974436,abrupt,0.9530106760844326,2.3325695431322617,221,0.0,0.9004524886877828,0.9004524886877828,0,0.0,0.918552036199095,0.8914027149321267,1.0,0.8914027149321267,1.0,0.8914027149321267,True,2.7,22.045827412064305,0.20-0.40,0.75-1.00
43,thermal_anomaly,0.5527821299796953,abrupt,1.0706734069060049,3.338260981904148,160,0.5,0.93125,0.93125,1,0.004975124378109453,0.95,0.94375,1.0,0.93125,1.0,0.93125,True,3.533333333333333,11.7043410857511,0.40-0.60,1.00-1.25
44,thermal_anomaly,0.5194687099090153,gradual,1.1812496316014158,2.7747202348521127,194,0.4536082474226804,0.8711340206185567,0.8762886597938144,0,0.0,0.9072164948453608,0.865979381443299,1.0,0.865979381443299,1.0,0.865979381443299,True,3.15,22.51678590887323,0.40-0.60,1.00-1.25
45,thermal_anomaly,0.5317921786317299,gradual,0.9023230521172474,3.451664027341458,153,0.41830065359477125,0.9084967320261438,0.9084967320261438,0,0.0,0.9215686274509803,0.954248366013072,0.958904109589041,0.9084967320261438,1.0,0.9084967320261438,True,3.7,14.900158359512528,0.40-0.60,0.75-1.00
46,thermal_anomaly,0.4925348471822232,gradual,1.259122347415162,2.6389457939895387,202,0.4405940594059406,0.8910891089108911,0.8910891089108911,0,0.0,0.9158415841584159,0.8960396039603961,0.994475138121547,0.8910891089108911,1.0,0.8910891089108911,True,3.0166666666666666,22.663252360627677,0.40-0.60,1.25-1.50
47,thermal_anomaly,0.461140824443969,gradual,1.4952426400609842,2.2314701111600006,227,0.3920704845814978,0.8149779735682819,0.8149779735682819,2,0.014925373134328358,0.8678414096916299,0.8149779735682819,1.0,0.8149779735682819,1.0,0.8149779735682819,True,2.8833333333333333,39.11179333039996,0.40-0.60,1.25-1.50
48,thermal_anomaly,0.2149541614610631,gradual,0.8382848099867584,1.7763381100010138,254,0.0,0.8661417322834646,0.8661417322834646,0,0.0,0.937007874015748,0.9330708661417323,0.9620253164556962,0.8661417322834646,1.0,0.8661417322834646,True,2.35,34.41971339993918,0.20-0.40,0.75-1.00
