true_label,predicted_label,baseline_probability,top5_ablated_probability,random5_ablated_probability,top5_probability_drop,random5_probability_drop,top5_larger_drop,top5_prediction_flip,random5_prediction_flip
battery_degradation,battery_degradation,0.7468411785469222,0.3929244233494603,0.737112001283948,0.3539167551974619,0.009729177262974176,True,False,False
battery_degradation,battery_degradation,0.9237824859938003,0.37436034565076587,0.9330411037164184,0.5494221403430344,-0.009258617722618045,True,False,False
battery_degradation,battery_degradation,0.8106010064686897,0.3852693525118831,0.7561057396004869,0.4253316539568066,0.05449526686820283,True,False,False
battery_degradation,battery_degradation,0.7125406289708323,0.3496191848959495,0.8035656595618752,0.36292144407488275,-0.09102503059104294,True,False,False
battery_degradation,battery_degradation,0.7519383246442655,0.40936092025488136,0.6955313524548393,0.3425774043893841,0.05640697218942614,True,False,False
battery_degradation,battery_degradation,0.7751097170122541,0.331757540269263,0.7602662198080934,0.44335217674299104,0.014843497204160672,True,True,False
battery_degradation,battery_degradation,0.8156299980530725,0.3619088381579538,0.8103361097015664,0.45372115989511863,0.005293888351506015,True,True,False
battery_degradation,battery_degradation,0.7841828684638527,0.3169292280243342,0.7681325334114852,0.46725364043951845,0.016050335052367415,True,True,False
battery_degradation,battery_degradation,0.7698539212583889,0.38487007019205166,0.7717903723648614,0.38498385106633726,-0.0019364511064724477,True,True,False
battery_degradation,battery_degradation,0.709110878016996,0.2408802642208912,0.6961422787484866,0.4682306137961048,0.012968599268509462,True,True,False
battery_degradation,battery_degradation,0.7197000836984784,0.48717778304871334,0.6943178756869006,0.23252230064976503,0.025382208011577756,True,False,False
battery_degradation,battery_degradation,0.7191507859377219,0.37691717721206774,0.7248841066281885,0.3422336087256541,-0.0057333206904666145,True,False,False
battery_degradation,battery_degradation,0.7203550903807702,0.30942449097060026,0.7246836181306567,0.4109305994101699,-0.004328527749886568,True,True,False
battery_degradation,battery_degradation,0.7831893776075026,0.35160684800930403,0.7870367581041053,0.4315825295981986,-0.0038473804966027148,True,False,False
thermal_anomaly,thermal_anomaly,1.0,0.07198786410925381,1.0,0.9280121358907462,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.996662930843582,0.06712456365056055,0.9960808872276714,0.9295383671930215,0.0005820436159106324,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07936195155086417,1.0,0.9206380484491359,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.9951090289120704,0.07233047592912938,0.9806618422939422,0.9227785529829411,0.014447186618128272,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.08052953131627225,0.998,0.9194704686837277,0.0020000000000000018,True,True,False
thermal_anomaly,thermal_anomaly,0.9990252100840336,0.07597691617966446,0.9967119570719855,0.9230482939043692,0.0023132530120481,True,True,False
thermal_anomaly,thermal_anomaly,0.9907618617239828,0.07436398853620865,0.99056023242069,0.9163978731877742,0.00020162930329281625,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07886632012884144,0.9809640718562874,0.9211336798711586,0.019035928143712577,True,True,False
thermal_anomaly,thermal_anomaly,0.997094674556213,0.07904138364168867,0.998,0.9180532909145244,-0.000905325443786964,True,True,False
thermal_anomaly,thermal_anomaly,0.9996867469879518,0.08345250878503793,0.9996867469879518,0.9162342382029138,0.0,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07983226440128725,0.9844657752489332,0.9201677355987128,0.015534224751066805,True,True,False
thermal_anomaly,thermal_anomaly,0.998,0.0762692680267505,0.9809640718562874,0.9217307319732495,0.017035928143712575,True,True,False
thermal_anomaly,thermal_anomaly,0.998,0.07875892960323537,0.996,0.9192410703967646,0.0020000000000000018,True,True,False
thermal_anomaly,thermal_anomaly,0.998,0.0821102446723554,0.9644074828879681,0.9158897553276446,0.03359251711203193,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07678030891924821,1.0,0.9232196910807517,0.0,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07662087251379715,0.9809640718562874,0.9233791274862029,0.019035928143712577,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07761962770515694,1.0,0.922380372294843,0.0,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07173094353177766,1.0,0.9282690564682223,0.0,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07875443316413176,1.0,0.9212455668358682,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.9986918714555766,0.08027755956685868,0.9959107108041866,0.9184143118887179,0.0027811606513900022,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07697994157511368,0.988,0.9230200584248863,0.01200000000000001,True,True,False
thermal_anomaly,thermal_anomaly,0.9990252100840336,0.08049897050114481,0.992,0.9185262395828887,0.007025210084033562,True,True,False
thermal_anomaly,thermal_anomaly,0.9798695588212532,0.07495990569683506,0.9798695588212532,0.9049096531244181,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.9958491488290933,0.07743407386741577,0.9958491488290933,0.9184150749616775,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.999120253164557,0.06653892926176645,0.9800843250208444,0.9325813239027906,0.019035928143712577,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.06808496801449586,1.0,0.9319150319855042,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.977,0.07413335734683371,0.9763135435992578,0.9028666426531663,0.0006864564007421636,True,True,False
thermal_anomaly,thermal_anomaly,0.9986918714555766,0.0759165889842556,0.9986918714555766,0.922775282471321,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.998,0.08252618365206646,1.0,0.9154738163479336,-0.0020000000000000018,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.0812820999331607,1.0,0.9187179000668393,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.9958491488290933,0.07875339866700483,0.9688132206853807,0.9170957501620884,0.027035928143712584,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07990645669812838,1.0,0.9200935433018717,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.9967481849955592,0.0857201946889955,0.9987481849955592,0.9110279903065637,-0.0020000000000000018,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07936904518399554,0.9789640718562874,0.9206309548160044,0.02103592814371258,True,True,False
thermal_anomaly,thermal_anomaly,0.9798695588212532,0.07234197185646102,0.9798695588212532,0.9075275869647921,0.0,True,True,False
thermal_anomaly,thermal_anomaly,0.9990252100840336,0.0798187691323638,0.9990252100840337,0.9192064409516698,-1.1102230246251565e-16,True,True,False
thermal_anomaly,thermal_anomaly,0.993918617192671,0.07676952342960659,0.9850428548604021,0.9171490937630644,0.008875762332268944,True,True,False
thermal_anomaly,thermal_anomaly,0.9946564482243133,0.08905430605664623,0.9986310160427807,0.9056021421676671,-0.003974567818467389,True,True,False
thermal_anomaly,thermal_anomaly,0.9967514910536779,0.08247514349686594,0.9987514910536779,0.914276347556812,-0.0020000000000000018,True,True,False
thermal_anomaly,thermal_anomaly,0.9992913385826772,0.0890537276552576,0.9992913385826772,0.9102376109274195,0.0,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.08803757263590907,0.9749640718562874,0.9119624273640909,0.025035928143712582,True,True,False
thermal_anomaly,thermal_anomaly,0.998,0.08405889968580431,0.996,0.9139411003141957,0.0020000000000000018,True,True,False
thermal_anomaly,thermal_anomaly,0.9933675889328063,0.07599802245650063,0.9723316607890937,0.9173695664763056,0.02103592814371258,True,True,False
thermal_anomaly,thermal_anomaly,0.9982483568112251,0.07940827961999199,0.9982483568112251,0.9188400771912332,0.0,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.08155234214208835,0.9884657752489331,0.9184476578579116,0.011534224751066913,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07785000680383777,1.0,0.9221499931961622,0.0,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07857986077511961,0.9991908045977012,0.9214201392248804,0.0008091954022988457,True,True,False
thermal_anomaly,thermal_anomaly,0.998,0.07010833695131082,0.998,0.9278916630486892,0.0,True,True,False
thermal_anomaly,thermal_anomaly,1.0,0.07483583058760294,0.9890594594594595,0.9251641694123971,0.0109405405405405,True,True,False
