dataset,time_h,innovation_v,soc_estimated,voltage_predicted_v,voltage_measured_v
battery_degradation,3.966666666666667,-0.06696038803434945,0.9827022641406746,29.93916172297067,29.87220133493632
battery_degradation,3.983333333333333,-0.1223768185879699,0.9737387223963604,29.91022022438622,29.78784340579825
battery_degradation,4.0,-8.846329147615961e-05,0.9685478802253827,29.874202555848978,29.8741140925575
battery_degradation,4.016666666666667,-0.020339038501493434,0.9626624050552417,29.853186720268457,29.832847681766964
battery_degradation,4.033333333333333,-0.0861724084484301,0.9546609552546176,29.82939300277309,29.74322059432466
battery_degradation,4.05,-0.10632464756546867,0.945981699000431,29.79718977637161,29.69086512880614
battery_degradation,4.066666666666666,-0.07029212397796769,0.9383608557460584,29.76221169150733,29.69191956752936
battery_degradation,4.083333333333333,-0.07292125972457342,0.9306278454857361,29.731607609942937,29.658686350218364
battery_degradation,4.1,-0.03253639657049945,0.9241205056339964,29.70054062605739,29.66800422948689
battery_degradation,4.116666666666666,-0.05762323373670952,0.9167971600997785,29.674376586330737,29.616753352594028
battery_degradation,4.133333333333334,-0.07750121305416258,0.9088749546116359,29.645167351712967,29.567666138658804
battery_degradation,4.15,-0.04198372815008611,0.9020677596737319,29.613508106252254,29.57152437810217
battery_degradation,4.166666666666667,-0.09744314669922716,0.8935608928077685,29.586398669521486,29.48895552282226
battery_degradation,4.183333333333334,-0.058288544674613973,0.8863268439314664,29.55257831281816,29.494289768143545
battery_degradation,4.2,-0.10117552930845974,0.8777843844425751,29.523758215006072,29.422582685697613
battery_degradation,4.216666666666667,-0.1243812660846082,0.8685767483393232,29.48982236376514,29.36544109768053
battery_degradation,4.233333333333333,-0.08797274577420566,0.8605637423721731,29.453228726063525,29.36525598028932
battery_degradation,4.25,-0.05639384699118466,0.8535681233744741,29.421307085220064,29.36491323822888
battery_degradation,4.266666666666667,-0.11391732604376159,0.8448650356058984,29.39367023663696,29.2797529105932
battery_degradation,4.283333333333333,-0.13135133686276035,0.835698849060468,29.359180216152012,29.22782887928925
battery_degradation,4.3,-0.07664060909552362,0.8282637055212674,29.322615003258903,29.24597439416338
battery_degradation,4.316666666666666,-0.08048513613922381,0.8207672114348455,29.293108594801563,29.21262345866234
battery_degradation,4.333333333333333,-0.06170185426888253,0.8139055155421842,29.263318776906964,29.20161692263808
battery_degradation,4.35,-0.062170958731766035,0.8070365154132801,29.235901292675436,29.17373033394367
battery_degradation,4.366666666666666,-0.10327681179376924,0.7989310369714295,29.208606939964966,29.105330128171197
battery_degradation,4.383333333333334,-0.09213811573157571,0.7911297600777495,29.176012386851497,29.08387427111992
battery_degradation,4.4,-0.06990441902825495,0.7840171412501328,29.144788471048365,29.07488405202011
battery_degradation,4.416666666666667,-0.07651921980376031,0.7766905573321914,29.116307268352305,29.039788048548544
battery_degradation,4.433333333333334,-0.0469612771781307,0.7702321244098901,29.08678646671465,29.03982518953652
battery_degradation,4.45,-0.05857504494224486,0.763363516697925,29.06076074204549,29.002185697103243
battery_degradation,4.466666666666667,-0.10850595740003399,0.7549082996910381,29.033168276622053,28.92466231922202
battery_degradation,4.483333333333333,-0.11750621260630112,0.746100252825002,28.99905878470271,28.88155257209641
battery_degradation,4.5,-0.09080532419265452,0.7469682846127444,28.999200232025466,28.90839490783281
battery_degradation,4.516666666666667,-0.06175967145170347,0.7487279927683069,29.002615897950673,28.94085622649897
battery_degradation,4.533333333333333,-0.012482675403731491,0.751969288524656,29.009434248174497,28.996951572770765
battery_degradation,4.55,-0.017887978845745778,0.7550140844480673,29.022287691647847,29.0043997128021
battery_degradation,4.566666666666666,-0.007368607747061162,0.7583550831385222,29.034339495722183,29.02697088797512
battery_degradation,4.583333333333333,-0.005197084268075969,0.7617452900691566,29.047629446710737,29.04243236244266
battery_degradation,4.6,-0.004583843423901612,0.7651366335789885,29.06111832483435,29.05653448141045
battery_degradation,4.616666666666666,0.01368561952314451,0.7691214940239125,29.074778826274407,29.088464445797552
battery_degradation,4.633333333333334,0.02963506072218891,0.7736107575369706,29.090746340456278,29.120381401178467
battery_degradation,4.65,0.07406502058324449,0.7795330005799858,29.108893101118923,29.182958121702168
battery_degradation,4.666666666666667,0.0009294943028628211,0.7832117667575657,29.132731121527737,29.1336606158306
battery_degradation,4.683333333333334,0.06782898564487283,0.7890300899585013,29.147659344202015,29.215488329846888
battery_degradation,4.7,0.03991585351845117,0.7940060338173117,29.17104501524596,29.21096086876441
battery_degradation,4.716666666666667,0.05944338169300423,0.7996651835007225,29.19124574206484,29.250689123757844
battery_degradation,4.733333333333333,0.06394919871060978,0.805541826101509,29.21419025499568,29.278139453706288
battery_degradation,4.75,0.03769101625835347,0.8106550466195277,29.23791859357184,29.275609609830195
battery_degradation,4.766666666666667,-0.0061074219995944645,0.8144751085985312,29.258662276732153,29.25255485473256
battery_degradation,4.783333333333333,0.028359011678993795,0.8194526305362215,29.274273007336983,29.302632019015977
battery_degradation,4.8,0.041572940321547236,0.824871569841784,29.29430045365289,29.33587339397444
battery_degradation,4.816666666666666,0.06193599887280854,0.8309980963914818,29.31626646353328,29.37820246240609
battery_degradation,4.833333333333333,0.09943955923715464,0.8383313580735966,29.340921300680968,29.440360859918123
