scenario_id,fault_type,time_h,prediction,confidence,severity,noise_scale,profile,estimator_prediction,original_probability,top5_probability_drop,random5_probability_drop,top5_beats_random,top5_prediction_flip,random5_flip_rate,reconstruction_error,top1_feature,top5_features,top5_positive_strength,class_consensus_overlap,severity_bin,noise_bin
23,battery_degradation,2.583333333333333,battery_degradation,0.7901352106971484,0.532861771889904,1.137061940728299,abrupt,battery_degradation,0.7901352106971484,0.5002013993580989,0.011778831184681971,True,True,0.0,6.661338147750939e-16,physics_confidence,physics_confidence|physics_pred_battery_degradation|battery_innovation_v|physics_pred_reaction_wheel_degradation|rule_pred_battery_voltage_sensor_drift,0.3279693732470574,0.8,0.40-0.60,1.00-1.25
24,battery_degradation,4.116666666666666,battery_degradation,0.9029082603487136,0.4130366087531232,0.985250056172856,abrupt,battery_degradation,0.9029082603487137,0.603613397728917,0.0055007735355496745,True,True,0.0,6.661338147750939e-16,physics_confidence,physics_confidence|physics_pred_battery_degradation|battery_temp_measured|battery_innovation_v|physics_pred_reaction_wheel_degradation,0.3779655902459244,0.8,0.40-0.60,0.75-1.00
25,battery_degradation,2.533333333333333,battery_degradation,0.8127234037636939,0.5979100187943587,1.1687230477114106,gradual,battery_degradation,0.8127234037636939,0.37766854917967085,0.03243209697472251,True,False,0.0,0.0,physics_confidence,physics_confidence|battery_innovation_v|physics_pred_battery_degradation|physics_pred_reaction_wheel_degradation|rule_pred_battery_voltage_sensor_drift,0.29938807465635414,0.8,0.40-0.60,1.00-1.25
26,battery_degradation,4.05,battery_degradation,0.8650711714265359,0.6470209319885911,1.237624543740518,gradual,battery_degradation,0.8650711714265359,0.3780623729298376,0.02265070900884115,True,False,0.0,5.551115123125783e-16,physics_confidence,physics_confidence|battery_temp_measured|battery_innovation_v|physics_pred_battery_degradation|physics_pred_reaction_wheel_degradation,0.31543016773264004,0.8,0.60-0.80,1.00-1.25
27,battery_degradation,3.1666666666666665,battery_degradation,0.7464107700703358,0.7053367578341156,1.2665960292847858,abrupt,battery_degradation,0.7464107700703358,0.22029003511103218,-0.002566650602755871,True,False,0.0,5.551115123125783e-16,physics_confidence,physics_confidence|physics_pred_reaction_wheel_degradation|physics_pred_battery_degradation|battery_temp_measured|rule_pred_battery_voltage_sensor_drift,0.2929829396414486,1.0,0.60-0.80,1.25-1.50
28,battery_degradation,4.5,battery_degradation,0.9114704131198974,0.261011454249298,0.9123926262095988,gradual,battery_degradation,0.9114704131198974,0.5264085640367533,0.052941596378130486,True,True,0.0,1.1102230246251565e-15,battery_soc_measured,battery_soc_measured|rule_pred_battery_voltage_sensor_drift|battery_voltage_measured|battery_temp_measured|rule_confidence,0.33585978870986183,0.4,0.20-0.40,0.75-1.00
29,battery_degradation,2.6333333333333333,battery_degradation,0.8204797458107215,0.4206076548422047,0.9503991988772036,abrupt,battery_degradation,0.8204797458107214,0.6088996586008057,0.0029584556464875454,True,True,0.0,2.220446049250313e-16,physics_confidence,physics_confidence|physics_pred_battery_degradation|battery_innovation_v|physics_pred_reaction_wheel_degradation|physics_detected,0.3704394981712041,0.6,0.40-0.60,0.75-1.00
30,battery_degradation,2.6166666666666667,battery_degradation,0.8538906104670073,0.5515337087280956,1.2509849432988789,abrupt,battery_degradation,0.8538906104670074,0.5375810593987018,0.03601746283490838,True,True,0.0,4.440892098500626e-16,physics_confidence,physics_confidence|battery_innovation_v|physics_pred_battery_degradation|physics_pred_reaction_wheel_degradation|rule_pred_battery_voltage_sensor_drift,0.33980950929841813,0.8,0.40-0.60,1.25-1.50
31,battery_degradation,2.55,battery_degradation,0.8301764072755853,0.673885629965303,1.3186871742363682,gradual,battery_degradation,0.8301764072755854,0.44516486107491976,0.018955220175732302,True,False,0.0,3.3306690738754696e-16,physics_confidence,physics_confidence|battery_innovation_v|physics_pred_battery_degradation|physics_pred_reaction_wheel_degradation|rule_pred_battery_voltage_sensor_drift,0.3134467696381016,0.8,0.60-0.80,1.25-1.50
32,battery_degradation,2.9166666666666665,battery_degradation,0.9133813391197628,0.3443756250882639,0.7823180179759468,gradual,battery_degradation,0.9133813391197628,0.4026393377719071,0.029505284617056628,True,False,0.0,3.3306690738754696e-16,physics_confidence,physics_confidence|physics_pred_battery_degradation|battery_innovation_v|physics_pred_reaction_wheel_degradation|battery_temp_measured,0.3196867594606596,0.8,0.20-0.40,0.75-1.00
33,battery_degradation,4.25,battery_degradation,0.7551600474548666,0.218278884874937,1.0993593982465346,abrupt,battery_degradation,0.7551600474548666,0.42457999027987514,0.009788886829347487,True,True,0.0,3.3306690738754696e-16,physics_confidence,physics_confidence|physics_pred_battery_degradation|battery_temp_measured|physics_pred_reaction_wheel_degradation|rule_pred_battery_voltage_sensor_drift,0.3532440145681274,1.0,0.20-0.40,1.00-1.25
34,battery_degradation,2.816666666666667,battery_degradation,0.902203750566422,0.5405391451600045,0.8054219818839264,gradual,battery_degradation,0.9022037505664219,0.3172868358348706,0.02155382321028123,True,False,0.0,3.3306690738754696e-16,physics_confidence,physics_confidence|physics_pred_battery_degradation|physics_pred_reaction_wheel_degradation|battery_temp_measured|battery_innovation_v,0.3061456852797879,0.8,0.40-0.60,0.75-1.00
35,battery_degradation,4.5,battery_degradation,0.8811887522497998,0.3006941930793471,1.2883757679621737,gradual,battery_degradation,0.8811887522497998,0.48482349760143884,0.04157008078886053,True,False,0.0,1.2212453270876722e-15,rule_pred_battery_voltage_sensor_drift,rule_pred_battery_voltage_sensor_drift|battery_soc_measured|battery_temp_measured|battery_voltage_measured|rule_confidence,0.33159077282574057,0.4,0.20-0.40,1.25-1.50
36,battery_degradation,3.3,battery_degradation,0.7067148063699186,0.7877755093108962,1.2212313440057934,abrupt,battery_degradation,0.7067148063699186,0.16157834208362587,-0.004787833787614637,True,False,0.0,1.2212453270876722e-15,physics_confidence,physics_confidence|physics_pred_reaction_wheel_degradation|physics_pred_battery_degradation|rule_pred_battery_voltage_sensor_drift|ml_battery_ratio,0.23819511521137238,0.8,0.60-0.80,1.00-1.25
37,battery_degradation,4.5,battery_degradation,0.9292489208600224,0.247777602545364,0.8711017819957132,gradual,battery_degradation,0.9292489208600226,0.467185212974393,0.03819504891905541,True,False,0.0,1.1102230246251565e-16,rule_pred_battery_voltage_sensor_drift,rule_pred_battery_voltage_sensor_drift|battery_soc_measured|battery_temp_measured|battery_voltage_measured|ml_battery_ratio,0.3405068729402966,0.4,0.20-0.40,0.75-1.00
38,battery_degradation,3.0,battery_degradation,0.7706133840982395,0.5462478997759437,1.4288630305793522,gradual,battery_degradation,0.7706133840982395,0.41060850914726704,0.050036185698644986,True,True,0.0,5.551115123125783e-16,rule_pred_battery_voltage_sensor_drift,rule_pred_battery_voltage_sensor_drift|battery_soc_measured|battery_voltage_measured|rule_confidence|battery_temp_measured,0.2958502458285343,0.4,0.40-0.60,1.25-1.50
39,battery_degradation,2.95,battery_degradation,0.7838666548136141,0.3732749894056553,1.2390735876494658,gradual,battery_degradation,0.7838666548136141,0.5225884709328926,0.02147771449995759,True,True,0.0,5.551115123125783e-16,physics_confidence,physics_confidence|battery_innovation_v|physics_pred_battery_degradation|physics_pred_reaction_wheel_degradation|rule_pred_battery_voltage_sensor_drift,0.31965335594191535,0.8,0.20-0.40,1.00-1.25
40,battery_degradation,3.2666666666666666,battery_degradation,0.7616709489480885,0.6629222227440466,0.9091043616193294,gradual,battery_degradation,0.7616709489480884,0.11580094777029648,-0.008696822545187366,True,False,0.0,8.881784197001252e-16,physics_confidence,physics_confidence|battery_temp_measured|physics_pred_reaction_wheel_degradation|physics_pred_battery_degradation|rule_pred_battery_voltage_sensor_drift,0.2675655579965172,1.0,0.60-0.80,0.75-1.00
41,thermal_anomaly,3.466666666666667,thermal_anomaly,0.9831869835146144,0.7276592359230265,1.1635317437360368,abrupt,thermal_anomaly,0.9831869835146145,0.9261539354328182,0.006512664872197371,True,True,0.0,4.440892098500626e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|electronics_temp_measured|battery_temp_measured,0.6365223348991238,0.6,0.60-0.80,1.00-1.25
42,thermal_anomaly,2.7,thermal_anomaly,0.8163749717850668,0.2125669064974436,0.9530106760844326,abrupt,thermal_anomaly,0.8163749717850668,0.7744575231514559,-0.000766668193604858,True,True,0.0,2.220446049250313e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|physics_confidence|rule_pred_battery_voltage_sensor_drift,0.5488453718817067,1.0,0.20-0.40,0.75-1.00
43,thermal_anomaly,3.533333333333333,thermal_anomaly,0.9904667323359748,0.5527821299796953,1.0706734069060049,abrupt,thermal_anomaly,0.9904667323359749,0.9428033249105898,0.0014036812239795915,True,True,0.0,1.1102230246251565e-15,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|electronics_temp_measured|battery_temp_measured,0.6354748599448035,0.6,0.40-0.60,1.00-1.25
44,thermal_anomaly,3.15,thermal_anomaly,0.8239226589378426,0.5194687099090153,1.1812496316014158,gradual,thermal_anomaly,0.8239226589378426,0.772861467627649,0.0005295644490227791,True,True,0.0,9.992007221626409e-16,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|rule_pred_battery_voltage_sensor_drift|physics_confidence,0.545275703619755,1.0,0.40-0.60,1.00-1.25
45,thermal_anomaly,3.7,thermal_anomaly,0.9357485761591304,0.5317921786317299,0.9023230521172474,gradual,thermal_anomaly,0.9357485761591305,0.8916474402711324,0.0017385037086006915,True,True,0.0,0.0,electronics_temp_residual_c,electronics_temp_residual_c|battery_temp_residual_c|physics_pred_thermal_anomaly|electronics_temp_measured|rule_pred_battery_voltage_sensor_drift,0.6096868351427022,0.8,0.40-0.60,0.75-1.00
