time_s,time_h,battery_temp_c,electronics_temp_c,battery_soc_percent,in_sunlight
29340.0,8.15,25.649306021899395,26.16790684806971,97.77036895355099,1
29400.0,8.166666666666666,25.647729810031574,26.17529564409272,98.12577945132504,1
29460.0,8.183333333333334,25.646326757860333,26.182379568590935,98.4830689987881,1
29520.0,8.2,25.64518616849191,26.18909610254679,98.84316826275963,1
29580.0,8.216666666666667,25.644379761271285,26.195396807012568,99.20681466596761,1
29640.0,8.233333333333333,25.64395835734162,26.201249455938104,99.5745191045257,1
29700.0,8.25,25.643949099187783,26.2066394602906,99.94654291404952,1
29760.0,8.266666666666667,25.644369770172393,26.21157052122664,100.0,1
29820.0,8.283333333333333,25.64519881113956,26.216064483770676,100.0,1
29880.0,8.3,25.646385650923417,26.220160397395926,100.0,1
29940.0,8.316666666666666,25.64785511487024,26.223912824565804,100.0,1
30000.0,8.333333333333334,25.649510713334372,26.227389471161707,100.0,1
30060.0,8.35,25.65123937419536,26.230668242359823,100.0,1
30120.0,8.366666666666667,25.652917374198932,26.23383385263021,100.0,1
30180.0,8.383333333333333,25.654417086909586,26.236974138018432,100.0,1
30240.0,8.4,25.655614065366546,26.240176231881694,100.0,1
30300.0,8.416666666666666,25.656393931154625,26.243522771219073,100.0,1
30360.0,8.433333333333334,25.653112278233984,26.231088299398365,99.50128407218682,0
30420.0,8.45,25.65051672611292,26.219064022498593,98.99794434755268,0
30480.0,8.466666666666667,25.648715591886095,26.20749803703245,98.48921627145373,0
30540.0,8.483333333333333,25.64778779188758,26.196422229354557,97.9745707860614,0
30600.0,8.5,25.647778408606126,26.18585085151972,97.45373745272806,0
30660.0,8.516666666666667,25.64869539550388,26.175779868089197,96.92671627145373,0
30720.0,8.533333333333333,25.650507776961476,26.166187102430634,96.39377768088599,0
30780.0,8.55,25.653145657556635,26.157033176115775,95.85545073885348,0
30840.0,8.566666666666666,25.6565022581361,26.148263200357803,95.31249999999997,0
30900.0,8.583333333333334,25.660438052800764,26.13980914556251,94.76589210107781,0
30960.0,8.6,25.664786906534882,26.1315927854306,94.21675351428333,0
31020.0,8.616666666666667,25.669363929478813,26.12352908693789,93.6663213150164,0
