time_s,time_min,in_sunlight,solar_power_w,load_power_w,battery_power_w,battery_voltage_v,battery_current_a,battery_soc,battery_soc_percent
7500.0,125.0,1,611.5701769743577,367.3205080756888,-244.24966889866886,29.85378694311011,-8.181530516182596,0.963446735777527,96.3446735777527
7560.0,126.0,1,610.5801345412646,369.0211303259031,-241.55900421536148,29.868165455265785,-8.087507234990705,0.9670413638164461,96.70413638164462
7620.0,127.0,1,609.5385467561977,369.8904379073655,-239.64810884883218,29.882430223649642,-8.019699437268967,0.970607555912411,97.0607555912411
7680.0,128.0,1,608.450488130146,369.8904379073655,-238.56005022278055,29.896630226639097,-7.979496298222064,0.9741575566597738,97.41575566597737
7740.0,129.0,1,607.3212595753644,369.0211303259031,-238.3001292494613,29.91081475814204,-7.967022335444523,0.9777036895355098,97.77036895355099
7800.0,130.0,1,606.156362579862,367.3205080756888,-238.83585450417326,29.925031178053,-7.981139704854688,0.9812577945132505,98.12577945132504
7860.0,131.0,1,604.961472404706,364.8628965095479,-240.0985758951581,29.939322759951523,-8.019505912683071,0.9848306899878809,98.4830689987881
7920.0,132.0,1,603.7424104347197,361.7557050458495,-241.98670538887018,29.953726730510386,-8.07868441766835,0.9884316826275963,98.84316826275963
7980.0,133.0,1,602.5051158172811,358.13473286151606,-244.37038295576502,29.968272586638705,-8.15430326353602,0.9920681466596761,99.20681466596761
8040.0,134.0,1,601.2556165273943,354.15823381635516,-247.09738271103913,29.98298076418103,-8.24125475230376,0.995745191045257,99.5745191045257
8100.0,135.0,1,600.0,350.0,-250.0,29.99786171656198,-8.333927343293727,0.9994654291404952,99.94654291404952
8160.0,136.0,1,598.7443834726057,345.84176618364484,-252.90261728896087,30.0,-8.430087242965362,1.0,100.0
8220.0,137.0,1,597.4948841827188,341.86526713848406,-255.62961704423475,30.0,-8.520987234807825,1.0,100.0
8280.0,138.0,1,596.2575895652803,338.2442949541506,-258.01329461112977,30.0,-8.600443153704326,1.0,100.0
8340.0,139.0,1,595.038527595294,335.1371034904521,-259.9014241048419,30.0,-8.66338080349473,1.0,100.0
8400.0,140.0,1,593.843637420138,332.67949192431126,-261.1641454958267,30.0,-8.705471516527556,1.0,100.0
8460.0,141.0,1,592.6787404246356,330.9788696740969,-261.6998707505387,30.0,-8.723329025017957,1.0,100.0
8520.0,142.0,1,591.549511869854,330.1095620926345,-261.43994977721945,30.0,-8.714664992573981,1.0,100.0
8580.0,143.0,1,590.4614532438022,330.1095620926345,-260.3518911511677,30.0,-8.67839637170559,1.0,100.0
8640.0,144.0,1,589.4198654587356,330.9788696740969,-258.44099578463863,30.0,-8.614699859487954,1.0,100.0
8700.0,145.0,1,588.4298230256423,332.6794919243112,-255.75033110133114,30.0,-8.525011036711039,1.0,100.0
8760.0,146.0,0,0.0,335.1371034904521,335.1371034904521,29.980051362887473,11.178670090783127,0.9950128407218682,99.50128407218682
8820.0,147.0,0,0.0,338.2442949541505,338.2442949541505,29.959917773902106,11.289893967893095,0.9899794434755267,98.99794434755268
8880.0,148.0,0,0.0,341.865267138484,341.865267138484,29.93956865085815,11.41851010364123,0.9848921627145373,98.48921627145373
8940.0,149.0,0,0.0,345.8417661836448,345.8417661836448,29.918982831442456,11.559275531927268,0.979745707860614,97.9745707860614
9000.0,150.0,0,0.0,350.0,350.0,29.898149498109124,11.706410124885334,0.9745373745272806,97.45373745272806
9060.0,151.0,0,0.0,354.1582338163551,354.1582338163551,29.87706865085815,11.853848111909157,0.9692671627145373,96.92671627145373
9120.0,152.0,0,0.0,358.134732861516,358.134732861516,29.85575110723544,11.9955023598359,0.96393777680886,96.39377768088599
9180.0,153.0,0,0.0,361.75570504584937,361.75570504584937,29.83421802955414,12.125529976602362,0.9585545073885348,95.85545073885348
9240.0,154.0,0,0.0,364.86289650954785,364.86289650954785,29.8125,12.238587723590703,0.9531249999999998,95.31249999999997
9300.0,155.0,0,0.0,367.32050807568874,367.32050807568874,29.790635684043114,12.33006613123191,0.9476589210107781,94.76589210107781
9360.0,156.0,0,0.0,369.0211303259031,369.0211303259031,29.768670140571334,12.396292094451642,0.9421675351428332,94.21675351428333
9420.0,157.0,0,0.0,369.8904379073655,369.8904379073655,29.746652852600654,12.434691047097997,0.936663213150164,93.6663213150164
9480.0,158.0,0,0.0,369.8904379073655,369.8904379073655,29.724635564629978,12.443901527509611,0.9311588911574948,93.11588911574948
9540.0,159.0,0,0.0,369.0211303259031,369.0211303259031,29.702670021158198,12.42383698378082,0.9256675052895499,92.56675052895498
9600.0,160.0,0,0.0,367.3205080756888,367.3205080756888,29.680805705201312,12.375691944619918,0.9202014263003282,92.02014263003282
9660.0,161.0,0,0.0,364.8628965095479,364.8628965095479,29.65908767564717,12.301892104696591,0.9147719189117932,91.47719189117932
9720.0,162.0,0,0.0,361.7557050458495,361.7557050458495,29.637554597965874,12.205990337363327,0.909388649491468,90.9388649491468
9780.0,163.0,0,0.0,358.134732861516,358.134732861516,29.616237054343163,12.092513042908543,0.9040592635857907,90.40592635857907
9840.0,164.0,0,0.0,354.1582338163553,354.1582338163553,29.595156207092188,11.96676345744324,0.8987890517730474,89.87890517730473
9900.0,165.0,0,0.0,349.99999999999994,349.99999999999994,29.574322873758856,11.834590482223792,0.893580718439714,89.3580718439714
9960.0,166.0,0,0.0,345.8417661836449,345.8417661836449,29.553737054343163,11.702133153168209,0.8884342635857907,88.84342635857907
10020.0,167.0,0,0.0,341.86526713848406,341.86526713848406,29.533387931299206,11.575551979804473,0.8833469828248013,88.33469828248013
10080.0,168.0,0,0.0,338.2442949541506,338.2442949541506,29.51325434231384,11.46075898750352,0.8783135855784598,87.83135855784599
10140.0,169.0,0,0.0,335.1371034904521,335.1371034904521,29.493305705201312,11.363158366861153,0.8733264263003281,87.33264263003281
10200.0,170.0,0,0.0,332.6794919243112,332.6794919243112,29.473503354491534,11.287409166227041,0.868375838622883,86.8375838622883
10260.0,171.0,0,0.0,330.978869674097,330.978869674097,29.453802231296645,11.237220480906526,0.8634505578241614,86.34505578241614
10320.0,172.0,0,0.0,330.1095620926345,330.1095620926345,29.434152852600654,11.215188143709993,0.8585382131501638,85.85382131501638
10380.0,173.0,0,0.0,330.1095620926345,330.1095620926345,29.414503473904666,11.222680076360769,0.8536258684761663,85.36258684761663
10440.0,174.0,0,0.0,330.9788696740969,330.9788696740969,29.394802350709778,11.259775307388825,0.8487005876774446,84.87005876774447
10500.0,175.0,0,0.0,332.6794919243112,332.6794919243112,29.374999999999996,11.325259299551021,0.8437499999999994,84.37499999999994
10560.0,176.0,0,0.0,335.13710349045203,335.13710349045203,29.355051362887473,11.416675765526124,0.8387628407218678,83.87628407218678
10620.0,177.0,0,0.0,338.2442949541506,338.2442949541506,29.334917773902106,11.530432693255086,0.8337294434755262,83.37294434755262
10680.0,178.0,0,0.0,341.86526713848394,341.86526713848394,29.31456865085815,11.66195795715644,0.8286421627145368,82.86421627145369
10740.0,179.0,0,0.0,345.8417661836448,345.8417661836448,29.293982831442456,11.80589775632825,0.8234957078606137,82.34957078606136
10800.0,180.0,1,600.0,349.99999999999994,-250.00000000000006,29.308863783823405,-8.529842775344429,0.8272159459558517,82.72159459558517
10860.0,181.0,1,601.2556165273943,354.15823381635516,-247.09738271103913,29.32357196136573,-8.42657855723013,0.8308929903414327,83.08929903414327
10920.0,182.0,1,602.5051158172811,358.134732861516,-244.37038295576508,29.33811781749405,-8.329449914815232,0.8345294543735124,83.45294543735125
10980.0,183.0,1,603.7424104347197,361.75570504584937,-241.9867053888703,29.35252178805291,-8.24415384600324,0.8381304470132278,83.81304470132278
11040.0,184.0,1,604.961472404706,364.8628965095479,-240.0985758951581,29.366813369951434,-8.175847098917126,0.841703342487858,84.1703342487858
11100.0,185.0,1,606.1563625798619,367.32050807568874,-238.8358545041732,29.381029789862396,-8.128913663420365,0.8452574474655987,84.52574474655987
11160.0,186.0,1,607.3212595753644,369.0211303259031,-238.3001292494613,29.395214321365337,-8.106766177794373,0.8488035803413347,84.88035803413348
11220.0,187.0,1,608.450488130146,369.8904379073654,-238.5600502227806,29.409414324354792,-8.111689936824824,0.8523535810886976,85.23535810886976
11280.0,188.0,1,609.5385467561977,369.8904379073655,-239.64810884883218,29.42367909273865,-8.1447363565073,0.8559197731846624,85.59197731846623
11340.0,189.0,1,610.5801345412646,369.02113032590313,-241.55900421536143,29.438057604894325,-8.205670613783981,0.8595144012235815,85.95144012235815
11400.0,190.0,1,611.5701769743577,367.3205080756888,-244.24966889866886,29.452596275662103,-8.29297582503796,0.863149068915526,86.3149068915526
11460.0,191.0,1,612.503850668262,364.86289650954785,-247.64095415871412,29.46733680864774,-8.403913654186736,0.8668342021619354,86.68342021619354
11520.0,192.0,1,613.376606858593,361.7557050458495,-251.62090181274357,29.482314243279454,-8.534638757881803,0.8705785608198632,87.05785608198632
11580.0,193.0,1,614.184193564921,358.134732861516,-256.049460703405,29.497555282607035,-8.680362092731874,0.874388820651759,87.4388820651759
11640.0,194.0,1,614.9226763059908,354.15823381635533,-260.7644424896354,29.51307697561237,-8.835555936953428,0.8782692439030929,87.82692439030929
11700.0,195.0,1,615.5884572681198,349.99999999999994,-265.58845726811984,29.52888581235452,-8.99419161819512,0.8822214530886304,88.22214530886305
11760.0,196.0,1,616.178292833385,345.8417661836449,-270.33652664974005,29.54497727227415,-9.149999479046192,0.8862443180685373,88.62443180685374
11820.0,197.0,1,616.6893093822022,341.86526713848406,-274.8240422437181,29.561335846217226,-9.296739622099507,0.8903339615543069,89.0333961554307
11880.0,198.0,1,617.1190172933127,338.24429495415046,-278.87472233916225,29.57793553207075,-9.428471504942733,0.8944838830176873,89.44838830176873
11940.0,199.0,1,617.465323072968,335.13710349045215,-282.3282195825158,29.594740783236375,-9.539810524119801,0.8986851958090938,89.86851958090938
12000.0,200.0,1,617.7265395542198,332.6794919243112,-285.0470476299086,29.61170786940482,-9.626160331144652,0.9029269673512056,90.29269673512056
12060.0,201.0,1,617.9013941166289,330.978869674097,-286.92252444253194,29.62878659109783,-9.68391073189409,0.9071966477744575,90.71966477744576
12120.0,202.0,1,617.9890348863438,330.1095620926345,-287.8794727937093,29.645922274002217,-9.710592577724025,0.9114805685005544,91.14805685005544
12180.0,203.0,1,617.9890348863438,330.1095620926345,-287.8794727937093,29.663057956906606,-9.704982986310108,0.9157644892266512,91.57644892266512
12240.0,204.0,1,617.9013941166289,330.9788696740969,-286.922524442532,29.680136678599613,-9.667156440334484,0.9200341696499031,92.00341696499031
12300.0,205.0,1,617.7265395542198,332.67949192431115,-285.04704762990866,29.69710376476806,-9.598479699831259,0.924275941192015,92.4275941192015
