time_s,time_min,time_h,in_sunlight,solar_power_w,load_power_w,battery_power_w,battery_soc_true,battery_soc_measured,battery_voltage_true,battery_voltage_measured,battery_current_true,battery_current_measured,battery_temp_true,battery_temp_measured,electronics_temp_true,electronics_temp_measured,battery_heat_w,electronics_heat_w,wheel_target_speed_rpm,wheel_speed_true,wheel_speed_measured,wheel_torque_nm,wheel_current_true,wheel_current_measured,wheel_temp_true,wheel_temp_measured,fault_label
35460.0,591.0,9.85,1,592.6787404246356,330.97886967409704,-261.6998707505386,100.0,100.0,30.0,29.990201299992965,-8.723329025017954,-8.728010930042611,25.729365821108267,25.70018844919296,26.248346703909903,26.472530483911,7.087717542297654,16.548943483704853,2524.4717418524256,2582.6820272361615,2571.4785059311716,-0.0009708345151576973,0.17427086287894242,0.17232919336327918,22.27801921891221,22.27772409686034,nominal
35520.0,592.0,9.866666666666667,1,591.549511869854,330.1095620926345,-261.43994977721945,100.0,99.84377150154344,30.0,30.02699477496385,-8.714664992573981,-8.690267262212393,25.73057506243036,25.725799600581507,26.251370886487887,26.22430351095352,7.075630874623557,16.505478104631727,2502.7390523158633,2542.710539776012,2542.1507556048537,-0.0005055354357606027,0.16263838589401505,0.162114452625776,22.277252366280578,22.27098252403052,nominal
35580.0,593.0,9.883333333333333,1,590.4614532438022,330.1095620926345,-260.3518911511677,100.0,99.96240017969664,30.0,30.00757347943777,-8.67839637170559,-8.655800009760753,25.731608829011627,25.60858281425177,26.254370875605247,26.14930448568193,7.02516508675462,16.505478104631727,2502.7390523158633,2522.724796045938,2513.9822058985205,9.318502806628603e-06,0.15023296257016572,0.1545649495719537,22.27643125567128,22.29645711912652,nominal
35640.0,594.0,9.9,1,589.4198654587356,330.9788696740969,-258.44099578463863,100.0,100.0,30.0,29.957115052849097,-8.614699859487954,-8.56115141580155,25.732342657015973,25.671457566201436,26.257433795567813,26.27425437627894,6.937044293524942,16.548943483704846,2524.4717418524237,2523.5982689491807,2527.8701922525725,0.0005512257128852607,0.1637806428221315,0.15884574404315116,22.275646659745313,22.2319407110643,nominal
35700.0,595.0,9.916666666666666,1,588.4298230256423,332.6794919243111,-255.75033110133126,100.0,100.0,30.0,30.085724192263942,-8.525011036711042,-8.51597729442548,25.732662151254157,25.893298266317228,26.260642274395703,26.3812095889149,6.814065054083606,16.633974596215555,2566.987298107778,2545.292783528479,2547.1328337109517,0.0010965022490355188,0.17741255622588797,0.17246657736773457,22.274919176650442,22.359699465515902,nominal
35760.0,596.0,9.933333333333334,0,0.0,335.137103490452,335.137103490452,99.50128407218682,99.20166200385721,29.980051362887473,30.028077616597784,11.178670090783122,11.184670250029669,25.728922889012917,25.4639005342831,26.248070846549584,26.2140202370464,10.99701319988553,16.7568551745226,2628.4275872613,2586.8601853948894,2590.1299244995043,0.001621316910100617,0.19053292275251543,0.1893478033873166,22.274267084639394,22.33146754951888,nominal
35820.0,597.0,9.95,0,0.0,338.2442949541504,338.2442949541504,98.99794434755268,98.82793951401021,29.959917773902106,29.920738302718476,11.289893967893091,11.287750605801664,25.725872473227177,25.72902903995617,26.235910709272602,26.20107227416637,11.196936464501505,16.91221474770752,2706.1073738537602,2646.4837796243246,2652.6202353575354,0.0021027327770518143,0.20256831942629536,0.19831728255060008,22.2737055224217,22.298758771008288,nominal
35880.0,598.0,9.966666666666667,0,0.0,341.8652671384839,341.8652671384839,98.48921627145373,98.50281026568645,29.93956865085815,29.892867172294068,11.418510103641227,11.378939198131171,25.723619204517668,25.72481030614253,26.224209950312268,26.422329950180963,11.430589838956541,17.093263356924194,2796.6316784620967,2721.5577290432107,2724.454078102705,0.002519709666413688,0.21299274166034218,0.204364567534619,22.27324579754117,22.024406752331622,nominal
35940.0,599.0,9.983333333333333,0,0.0,345.8417661836447,345.8417661836447,97.9745707860614,98.12118150466229,29.918982831442456,29.91609642695461,11.559275531927266,11.593513511012578,25.722241982843364,25.63417019077222,26.213000447328135,26.248021697113987,11.68934806584099,17.292088309182237,2896.044154591117,2808.8009418171637,2813.031809132303,0.002854023687244038,0.22135059218110092,0.21911327399006852,22.272894858058784,22.2388080124403,nominal
36000.0,600.0,10.0,0,0.0,349.9999999999999,349.9999999999999,97.45373745272806,97.45879001894774,29.898149498109124,29.914429788505934,11.70641012488533,11.705980104749973,25.721785874416177,25.819185508192128,26.20229644374951,26.156102924822807,11.963203040961423,17.499999999999996,2999.9999999999977,2904.4004709085807,2897.758494881265,0.0030910637126159157,0.2272765928153979,0.2371614696559638,22.272654956399624,22.224284257476228,nominal
36060.0,601.0,10.016666666666667,0,0.0,354.1582338163551,354.1582338163551,96.92671627145373,96.81302785471019,29.87706865085815,29.875094551225985,11.853848111909157,11.855863545198776,25.72225881651907,25.68359045227024,26.19209389558115,26.190350505886247,12.241097204816983,17.707911690817756,3103.955845408878,3004.1781581587297,3003.979347001589,0.0032204699559763373,0.23051174889940843,0.23138584553451247,22.272523525542375,22.083924528823392,nominal
36120.0,602.0,10.033333333333333,0,0.0,358.13473286151594,358.13473286151594,96.39377768088599,96.76995294228756,29.85575110723544,29.851332457829404,11.995502359835898,12.012921038419307,25.723629817450576,25.585819683297174,26.182370617702652,26.135270591577726,12.511366149186287,17.9067366430758,3203.3683215378987,3103.773239848314,3100.411660516712,0.0032365867435303762,0.2309146685882594,0.23826328741080213,22.272493277219354,22.225628188672484,nominal
36180.0,603.0,10.05,0,0.0,361.7557050458494,361.7557050458494,95.85545073885348,96.0070667362415,29.83421802955414,29.814705415973943,12.125529976602364,12.111951408412745,25.7258289658028,25.701273949282733,26.173087223265615,26.301471735948546,12.762278177078601,18.087785252292473,3293.892626146236,3198.832932997275,3189.3836697021243,0.0031387096943250323,0.22846774235812578,0.22188942458175362,22.27255252012572,22.116768106870534,nominal
36240.0,604.0,10.066666666666666,0,0.0,364.8628965095477,364.8628965095477,95.31249999999997,95.09499957604768,29.8125,29.788151998464237,12.238587723590697,12.190153285967986,25.72874946653279,25.655334691871325,26.164188815130444,25.962717367037104,12.982642357441994,18.243144825477383,3371.572412738692,3285.202672867984,3280.1127292491456,0.0029311165050766867,0.22327791262691715,0.22928001462646816,22.27268568415876,22.304972729781248,nominal
