time_s,time_min,target_speed_rpm,wheel_speed_rpm,angular_acceleration_rad_s2,inertia_torque_nm,friction_torque_nm,motor_torque_nm,motor_current_a,wheel_temperature_c
3300.0,55.0,2566.987298107781,2545.292783528481,0.03786407090307004,0.0005679610635460507,0.000528541185489511,0.0010965022490355618,0.17741255622588903,24.05252510515335
3360.0,56.0,2628.427587261303,2586.860185394892,0.0725488024068511,0.0010882320361027666,0.0005330848739978794,0.001621316910100646,0.19053292275251615,24.03854096867853
3420.0,57.0,2706.1073738537634,2646.4837796243282,0.10406280311767423,0.0015609420467651133,0.0005417907302867016,0.0021027327770518148,0.20256831942629536,24.024747352330543
3480.0,58.0,2796.6316784620994,2721.5577290432134,0.13102875998352392,0.001965431399752859,0.0005542782666608225,0.0025197096664136814,0.21299274166034204,24.011154813725696
3540.0,59.0,2896.0441545911203,2808.8009418171673,0.15226813129234623,0.0022840219693851934,0.0005700017178588454,0.002854023687244039,0.22135059218110098,23.997769556621925
3600.0,60.0,2999.9999999999995,2904.4004709085834,0.1668526546001317,0.0025027898190019757,0.0005882738936139269,0.0030910637126159027,0.22727659281539755,23.984593094723543
3660.0,61.0,3103.955845408879,3004.1781581587315,0.1741449162540249,0.0026121737438103733,0.0006082962121659427,0.003220469955976316,0.2305117488994079,23.971622127828866
3720.0,62.0,3203.368321537899,3103.7732398483154,0.17382620942759577,0.0026073931414139365,0.0006291936021164257,0.0032365867435303623,0.23091466858825904,23.958848639988698
3780.0,63.0,3293.8926261462366,3198.8329329972757,0.1659104631384859,0.0024886569470772882,0.0006500527472477371,0.0031387096943250254,0.22846774235812561,23.946260217674297
3840.0,64.0,3371.5724127386966,3285.202672867986,0.15074363348349162,0.0022611545022523743,0.0006699620028243555,0.0029311165050767297,0.22327791262691823,23.933840573975722
3900.0,65.0,3433.0127018922194,3359.107687380103,0.1289885836970631,0.0019348287554559463,0.0006880512388423744,0.0026228799942983206,0.215571999857458,23.92157025349694
3960.0,66.0,3475.5282581475767,3417.31797276384,0.10159611384717379,0.0015239417077076067,0.0007035298688860221,0.0022274715765936287,0.2056867894148407,23.909427482785624
4020.0,67.0,3497.2609476841367,3457.2894602239876,0.06976340630992155,0.0010464510946488232,0.0007157214025476829,0.001762172497196506,0.19405431242991264,23.897389123596383
4080.0,68.0,3497.2609476841367,3477.2752039540624,0.03488170315496101,0.0005232255473244152,0.0007240930113048735,0.0012473185586292885,0.18118296396573222,23.885431681569983
4140.0,69.0,3475.5282581475767,3476.4017310508193,-0.0015244978088541454,-2.286746713281218e-05,0.0007282788156834687,0.0007054113485506565,0.1676352837137664,23.873532321261713
4200.0,70.0,3433.0127018922194,3454.7072164715196,-0.03786407090306956,-0.0005679610635460434,0.0007280958759464062,0.00016013481240036284,0.15400337031000907,23.861669839808748
4260.0,71.0,3371.5724127386975,3413.1398146051083,-0.07254880240685063,-0.0010882320361027594,0.0007235521874380379,-0.00036467984866472153,0.15911699621661804,23.84987478732624
4320.0,72.0,3293.8926261462366,3353.516220375672,-0.1040628031176747,-0.0015609420467651205,0.0007148463311492157,-0.0008460957156159048,0.1711523928903976,23.838147159474104
4380.0,73.0,3203.3683215379006,3278.4422709567866,-0.1310287599835244,-0.001965431399752866,0.0007023587947750947,-0.001263072604977771,0.18157681512444426,23.826466278432534
4440.0,74.0,3103.9558454088797,3191.199058182833,-0.15226813129234623,-0.0022840219693851934,0.0006866353435770719,-0.0015973866258081216,0.18993466564520303,23.81481341458936
4500.0,75.0,3000.0000000000005,3095.599529091417,-0.1668526546001317,-0.0025027898190019757,0.0006683631678219903,-0.0018344266511799855,0.19586066627949963,23.80317254337472
4560.0,76.0,2896.04415459112,2995.8218418412685,-0.17414491625402634,-0.002612173743810395,0.0006483408492699745,-0.0019638328945404205,0.1990958223635105,23.791530991212568
4620.0,77.0,2796.631678462101,2896.226760151685,-0.1738262094275953,-0.0026073931414139296,0.0006274434593194914,-0.001979949682094438,0.19949874205236096,23.779879946612933
4680.0,78.0,2706.107373853764,2801.1670670027247,-0.1659104631384859,-0.0024886569470772882,0.0006065843141881801,-0.0018820726328891081,0.1970518158222277,23.768214816356704
4740.0,79.0,2628.4275872613025,2714.7973271320134,-0.15074363348349257,-0.0022611545022523886,0.0005866750586115617,-0.0016744794436408268,0.19186198609102068,23.756535411132372
4800.0,80.0,2566.987298107781,2640.8923126198974,-0.12898858369706165,-0.0019348287554559246,0.0005685858225935426,-0.0013662429328623821,0.18415607332155953,23.74484595008817
4860.0,81.0,2524.4717418524233,2582.6820272361606,-0.10159611384717379,-0.0015239417077076067,0.0005531071925498951,-0.0009708345151577116,0.17427086287894278,23.733154879745946
4920.0,82.0,2502.7390523158633,2542.710539776012,-0.06976340630992155,-0.0010464510946488232,0.0005409156588882343,-0.0005055354357605888,0.16263838589401472,23.721474509658062
4980.0,83.0,2502.7390523158633,2522.724796045938,-0.03488170315496101,-0.0005232255473244152,0.0005325440501310438,9.318502806628603e-06,0.15023296257016572,23.709821732973435
5040.0,84.0,2524.4717418524233,2523.5982689491807,0.0015244978088541454,2.286746713281218e-05,0.0005283582457524485,0.0005512257128852607,0.1637806428221315,23.698286708467702
5100.0,85.0,2566.9872981077806,2545.292783528481,0.03786407090306956,0.0005679610635460434,0.000528541185489511,0.0010965022490355544,0.17741255622588886,23.686889425007415
